nmkab,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
BONDOWOSO,185.1556595584263,181.5040451990853,182.5688155081673,180.9731742039812,180.79612047798332,168.68850974964903,159.93327777695114,170.1329409663835,173.3901347738311,172.1489208668781,176.97794610038844,173.00085566749502,171.59048745765057,173.7064837274365,175.38122839129556,175.4120621834649,178.22560107541292,171.68711835989623,160.62821123330212,170.1296051032505,169.88351513167348,174.9415194670555,168.28397495994503,178.06033571928162,175.78333506947018,173.53315029489542,180.0152755249335,176.01099222706694,177.96043839938096,167.99250484878235,159.6483132189468,167.20006498112585,172.41472343338452,163.62037381508654,168.0036533281747,174.79086742362236
SITUBONDO,210.4596006695917,205.51319133260915,206.7639665390587,207.78550678684505,208.7328603602552,198.43300117971268,191.8666714849925,201.0879935092489,207.11232916315015,207.32871784350382,207.6253899346727,198.75566891573675,197.94853794897855,198.60183065294535,200.09819825700941,203.93247194102346,206.25513035125573,198.79999673597294,192.2806736952052,202.72062258986546,203.02150527606668,208.87297338885284,194.94406623177397,203.3346397213453,201.44231764579703,198.22411276747508,204.27767312166876,204.20949692015728,203.44546743200323,195.93798115257465,190.1757515422529,199.33508502790738,206.91049804391517,194.85544789446945,194.7104248364491,201.61502198555428
PROBOLINGGO,195.56834874575424,191.3897060958153,192.08398187579735,192.10305516537574,190.542497861764,177.3057108211496,167.41620682493723,177.2141965480049,181.9277912634911,184.93415572611832,190.04779599775813,182.17123307555403,182.43513496010502,183.05952670729502,185.42853601727575,187.15735184759262,187.36589630615543,181.4570220121081,170.24902467401674,176.87936998519444,179.42409205916067,187.85227077327116,181.97375384938343,187.47782598889253,186.17292579929853,183.7158993209006,189.45786390769084,187.55031163535457,187.77504639358293,177.43178747607755,169.1587698945286,175.59420186288938,183.66240657080536,178.71211190735144,181.0311345045433,185.60135015933506
PASURUAN,207.6781164612616,203.31541289255503,203.89355320395478,203.63639945870548,200.73422909613157,188.1564387595853,180.60936325315885,188.89406131559437,194.4680537768768,196.560931918225,205.88566191910652,192.04692514685962,193.10746042691719,195.71045154533326,197.28675384064994,199.0748583249942,198.8804226659268,191.58509832997163,183.11012282821147,188.46905703812374,190.46419886867378,201.29425107973702,191.16319716287018,197.20861612165623,197.15419373570924,194.64728238045114,200.3369635663215,198.31295010654762,195.31995738083992,184.8116331641356,180.67953450752054,187.35479154460745,196.2037527673935,186.04599447298966,189.3883502444637,197.068932084139
SIDOARJO,247.79596138555183,241.86887844133375,241.0697098579974,242.22295094214738,240.10053844634996,230.1537800641435,220.82961294832688,226.29895779413064,236.89176107710585,237.69357119605488,245.2157841091619,230.5007604420699,231.51268203915853,233.750366879946,234.21005277734753,238.644780165536,239.18127871669367,229.41615659236535,220.4194438366834,226.4647074832833,228.38573357311688,238.07230870212533,225.45602510259266,234.91178871984204,236.083472525361,233.30004642698924,236.8458357124939,237.50698806239336,232.39183845542172,222.6571500232132,219.2059277126434,224.76991424348,234.82032221398006,222.48837457508586,224.89106200404458,235.17723903495843
MOJOKERTO,223.63590614681215,218.9168584899669,219.09052736855458,218.58209375793737,216.35969646939296,204.46073707772422,198.2939698691898,206.06427800355596,214.2119792989585,213.72135350520696,219.0001666878333,209.71582105664206,208.92934420243841,210.54743062611118,212.11311356997717,214.1376643065785,213.15060642621265,205.62892907035823,197.0964328803658,204.96976997078988,206.66770780416553,216.4578716344932,205.4980037147573,214.32769240538462,213.72899336423663,210.69772748920496,214.493257080264,212.09892922910842,211.34634159893315,200.59222202819407,196.7959780607061,202.4309832994665,210.8968003873507,201.1610045720091,204.5860347345693,213.30761049022098
JOMBANG,235.50216794484368,230.15309770619686,229.71348551591564,230.4188559336685,227.87179043891368,212.40871811184797,204.63496234622113,214.19998340329326,221.25803384345159,221.04849696072802,225.23805209982922,220.69607626186828,220.5178552905461,221.14190184430916,222.8287807644167,225.4876942333359,225.41273589798567,216.28341988977027,205.82633620779072,213.02043469541596,216.12241800189486,225.83737301790376,214.82341103819314,225.0689869785005,225.37736762397387,221.80162440269154,224.85462667782332,223.47935438810026,223.68186187390657,210.2403272317385,204.47650182909535,210.3370964061214,218.97631511614244,211.2590123576314,213.19844820790146,224.4241046422373
NGANJUK,231.02679999281258,226.02376930863258,227.78193748165705,227.46327242017497,223.62793859570326,209.12523733371663,201.72709467593847,211.0937745194929,218.1147048077672,218.10644230020534,221.26241472457326,216.1093172575304,216.65694871195927,216.3542007319162,220.32981151061034,221.92935091848886,222.01310800855285,214.7256032918261,205.5004282488517,210.51236531124403,213.2898735617729,222.91849495984042,212.66318976515183,220.50033840643513,220.7405920016291,217.79977419606,222.34688456447404,219.79251193406765,220.20091160105179,208.03192400529477,204.01449457651276,208.62755826280704,216.521978449799,209.47822818775865,209.96480273600102,220.0698045627969
MADIUN,228.72768947493861,224.15992966480226,226.9939510348185,225.30907068410988,221.97979763085075,210.52871272079062,202.01945618041168,212.57882482183012,218.2906612406769,216.66539307909935,220.23788220581667,214.6661669044565,215.7712171512862,214.98056454705292,219.99397867143858,219.93502976118478,220.60087884451275,213.9975783411809,205.0047189528484,210.68577163170045,211.60870000794537,219.63796718842275,211.14050112101023,218.4849777697937,219.871037167799,217.3539663731425,221.6569293642539,217.29019141813833,218.1121286761022,207.29795039917616,204.48834943742196,208.62153376331293,214.11589762014154,207.6910882264542,209.1407083956595,218.16327024123288
MAGETAN,216.42389892809192,213.30509211366183,216.03217375035757,213.2279675566218,211.04352012854102,201.23982017476283,191.5819008209891,200.3177261021724,205.32983184029226,203.7434959170647,209.1531100741752,204.1864833931282,204.3171978517817,204.14948385534728,209.74859133229154,207.8401327229106,209.6897464398125,203.584553078159,194.05224176259534,197.38287148108202,198.72933220346445,206.17873572073145,199.94806088085753,207.93931723636993,208.5312933330398,206.5373186890585,211.16003785794456,204.9185008694119,206.88292650716429,195.88200206898068,194.42711795391025,195.95259503004417,201.19667422358197,195.08828384654328,198.47316928223975,207.15140426562184
NGAWI,229.63943460507437,227.0126268576449,229.9761434167084,226.7867017428111,225.5586199440592,216.1428844677177,207.3818993787753,214.20747687386165,221.21770587599346,216.16735091021485,221.50718940840866,216.07915695281065,217.33774002810898,218.27480533016933,223.62612581395396,222.80134390792236,226.72250851723808,216.9032846462399,208.56843313309616,213.0009979514274,210.98577919215822,217.12726375579007,209.60858127344133,218.55295934179557,221.4456047169839,220.24963754958577,224.57868708401364,219.55423727404022,220.77027989765446,207.33363456681957,204.4961204638257,208.76962291296468,214.7944913081202,202.91906059505624,208.1437964844387,219.1708991819571
