nmkab,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
BONDOWOSO,173.37805126068352,162.53225494426997,139.33729172557125,187.05677663854127,217.0604225261289,229.2019226476586,240.23050938258012,311.76696577826084,285.90931412669823,241.53253768657285,213.6054603987163,208.33968263416625,177.19658526664597,204.48999737099265,142.96743007088395,208.72589869888947,216.0109525439369,184.21149620282037,224.89647663407698,321.06447516580096,277.1978501664212,252.24551952658027,192.5377113746734,185.20811321597063,170.92107025402169,175.1100958843632,152.16263138836396,202.7078775973848,213.04404331413676,210.15087030064953,219.63563445884643,305.79939185602996,274.06355253302365,216.62958774188127,177.82037927151694,203.38234199913677
SITUBONDO,170.17215411803664,187.01684238012865,143.75733823248277,197.62336856928366,228.04836821956656,256.53814948311833,286.42535403037436,341.35942068180873,311.8499107055429,268.3024727337162,217.47863227936347,224.7159130649681,170.05343678745118,249.50713189933757,149.73316577993938,229.09248387803737,240.39611300994613,201.76243477774273,263.0813815228087,346.95601490261544,299.0513804503426,277.9849761492874,173.72854485006468,184.20119929683534,179.93527900437846,189.37386633342493,155.62904797653627,210.60060431131376,222.95674231438184,222.82550510820232,254.6987069789565,332.9674436605601,295.8347516308478,207.80065187285211,167.82370989326643,229.93569866501278
PROBOLINGGO,166.09938834164444,182.33879486108754,156.11609226460988,190.5905551374615,211.76094631743277,243.11943528234784,267.68215203696315,318.6998854396728,298.45080047074725,244.8461474902805,212.79761678788938,197.52478232421288,171.7986194698964,220.28287244946975,156.11318917639394,206.44646370358134,217.07357542111535,195.71586805687403,245.2311639820547,333.20563467091296,292.1727605465848,257.13353535849814,193.47834631162667,185.52113783192934,161.8577754751574,193.61291561615806,165.30356253587019,204.66838916567497,211.89745845792456,217.44630961659152,233.96450193055398,312.3069948793991,281.6623753067786,210.67137264710314,181.9933496948409,211.37215581097806
PASURUAN,179.70822466830163,166.04782471185393,148.13790046196684,176.38784472523065,196.94881552955067,218.34936304576624,259.16661913921735,318.0714052397714,288.04905869726394,238.74913802489735,202.8087685551483,181.8649771090521,182.0440605378725,202.7899217611771,146.94425289442168,183.81690352619094,203.70361536985828,193.6997786084999,250.3102073406576,318.0286564594988,277.686977306075,234.4486210990765,176.2185087441865,174.30129464771778,176.9949862861705,170.25332994592233,155.01926157898268,180.88784731763693,194.7723089526159,195.59547573248435,240.98174427467046,305.7687262470769,269.44680641465004,197.90836880609302,167.99555143074895,195.0574736481897
SIDOARJO,171.60696084657198,156.84718049426047,154.70049255300393,170.1452044121647,206.73105965601317,216.04105853536177,251.04124531060685,360.40220714975607,302.6986354734215,245.93368945146753,201.03350747901416,210.05571238746748,183.85482760644834,245.72055221435377,147.25877977063982,180.14520441216476,207.76152536674638,204.39124611107218,243.22459456430633,343.0283204636291,284.4827659812902,219.44138192335788,165.29102251442154,188.3732409774213,189.8398535682074,146.94537090895486,153.55913571089306,165.05419150332705,203.27614453202116,185.82114402505954,234.62941123106194,331.68444589121106,271.8696735702353,187.4623114237074,164.87515408957725,219.62794371127737
MOJOKERTO,128.37864331978662,119.11615760731516,124.14393891287776,125.56892145034286,160.09151955803907,169.0327343154686,225.2426498602997,281.6879921259841,227.5796529718059,180.92055340360662,134.94820770891542,148.5818437261874,148.62192818135634,177.9874825374649,119.27971012192019,135.60777559055109,160.13037369824735,164.99261811023607,228.14234347218692,280.7091376682753,220.53181356362708,179.16529083058154,120.17438722377437,131.3392176784353,140.73334709169416,115.29158464566923,119.6774987299974,128.99733299466595,164.73865728981445,157.9437071374141,220.70961391922782,261.9414766954534,216.24472155194297,166.3679911734822,114.7282988315976,141.6660052070103
JOMBANG,125.84805714799423,102.77783924706272,102.44172135512112,96.58000650037692,129.27821613061616,147.0474804124282,202.08385486179796,270.9338759534462,212.72168705526005,147.9241668798883,95.75345591845482,123.84324410298257,151.40581023048676,146.55438533404342,109.72300787652053,116.27355522208467,135.6090991445781,132.677844087769,192.33581361898106,289.32828286320864,204.75412670202684,179.86131376765994,85.2619167813453,116.84569211725574,135.2917217008859,110.22706369677815,112.43508267234648,118.28756560885712,141.09735351677307,134.4092955389435,182.5947568236669,265.8242339582455,203.41428838161355,155.29386544219852,77.47560629845024,115.29092644201184
NGANJUK,122.2168017297659,102.7733754993742,97.78646254469662,104.06033816685543,134.65305853532908,149.28377625644623,202.5250211129679,261.648578393498,227.55478890026896,150.17435418276344,100.98691894417195,123.19545517162886,139.38781377463928,146.10841583861898,99.1628184164975,128.43485526386723,135.61026958714422,114.53617355159054,187.7993998526585,288.2736779688428,205.46325744643897,184.92378368341934,82.24066986505673,107.66280943225586,128.65916183014986,111.77283045538131,108.52661431848546,127.92952161908009,139.47406249438484,127.84147605100657,175.55669355949667,260.2159512215575,205.63599446570714,137.22539665426834,74.7746452721926,124.40686036691643
MADIUN,146.13740236500368,104.47101782216518,107.2521599745742,109.38470520363,148.14865737845923,153.01854071737753,210.94475785139102,257.6543764314905,225.4865945120582,151.80304762825975,98.43207091556664,134.33584020506368,157.16669372752358,153.2057788172218,104.18691336956026,134.15440579539916,153.3741203782071,105.3838899233428,186.2505743235074,287.14416988230244,199.03185465901586,167.47124927885696,75.45778333580904,119.10364077921447,155.52587305809556,115.08793626995441,117.16113185776803,131.6812737718113,149.34611757309008,123.86042125117878,181.46170082668033,259.05496578240974,191.6217168559198,127.78682493237655,68.4507256340013,137.29230216498368
MAGETAN,112.07899544384038,94.29968304976562,98.76328879889067,110.71500891422535,134.8342614399225,156.66624480003526,209.0941056060572,258.35114344199144,242.96056830937852,171.97868289569246,117.47688904540748,134.0148130213721,125.1533026654634,134.0604846697334,98.76328879889067,132.18618625228353,137.9085686615455,104.36230273149471,188.23052626945176,291.6314683159817,212.8061651222678,181.1996236215967,96.57314066867688,115.78362643893209,121.75522197521627,116.82598551713508,116.46512446899828,138.65131072128185,134.64535689917014,126.73172583804721,180.16183170822967,262.58859199260434,204.85308036009044,154.36158739242387,87.7677569167785,129.1948033367816
NGAWI,119.42470872292715,82.37451453821186,85.22380446805028,103.46036885393595,128.700140544826,145.3127607494615,206.47994810652557,260.41304100748744,233.26762562406583,163.22865007664822,98.94946207645972,140.7297519813494,141.25636540545926,139.45026736781995,85.05736834664391,119.58646001679877,140.42615298040968,116.809743332437,194.9582107839739,292.78433992443263,204.48285325401457,162.34831831324038,85.68424816834325,116.52011565148204,142.15490978241877,87.44200100349559,98.01160950160639,117.06715935898255,136.4637868375751,118.97166649572125,188.01180354771714,259.2035238773737,199.17829788295677,136.32268759407768,76.0540168931,134.4598726503096
