nmkab,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
BONDOWOSO,284.1191585192242,370.36171421201715,331.8628848643582,268.6552800884934,145.33312995729105,19.607888510245697,26.110209973362696,17.255103002524837,18.250440234725716,123.44316631695916,164.69765423096578,367.8689638238668,493.1903748567688,372.8238168226713,327.57768220757254,198.4533996041606,56.36495334752005,104.71527106058122,18.313442164317923,24.353933838301177,39.71110433190971,105.75097347678785,376.6770636467808,343.849271070502,344.3717515637636,322.5047024509292,352.73473563594723,206.37507750611383,188.3737208390998,107.87964602647861,46.899879462492024,32.893026681944676,36.87284781023529,287.2968025317837,223.27774718869827,257.3658883812755
SITUBONDO,265.4126336502547,307.0367506143366,269.7761973151046,201.50715987671308,122.01716178850032,11.498715372169046,13.903102690957239,7.193734000438308,4.974225842701866,58.081125063531935,120.66848675038115,350.35320970441927,499.3040184837193,303.43186576455184,281.30902410250894,162.86759240694028,34.064203414172404,54.150905301246375,9.743515077474017,12.976492010127812,16.52638033377008,54.58109941760428,318.16538126168655,323.5881194074391,285.08441939951206,280.122883628106,306.0802041415841,159.3119384124704,197.97314638229224,70.60869676721424,31.308853906807354,19.322828605934003,10.958593484069215,239.90340577919326,154.58663194363496,227.9721438596655
PROBOLINGGO,293.31512575954855,356.4928170898109,347.8284185538602,210.68047271208744,149.425927704171,31.25412071040804,41.616200572131746,32.25674465552627,34.947780142429984,153.58144390675292,223.83970263444118,424.5177211204139,538.4353113785435,396.7202852172515,366.68309665720585,218.81159627422153,61.76475159614029,137.18153903872053,24.478078334252686,58.48143475085929,76.36582931181181,107.31356032505666,476.45021092052474,389.16630229187706,407.3118251715617,337.0803641812514,401.6794856620943,213.62150652413266,263.09168399214826,179.18039120230299,48.910500023448,76.81976735097678,49.11838123801089,360.58080969363544,251.3206661917513,292.7197894591102
PASURUAN,274.60048166909473,423.29477215340796,310.66894971250184,184.06078674347097,138.94548947223788,23.235159770001683,24.989721108927725,19.96681460665418,17.106057935096505,105.12469474415538,149.59692488761914,412.0477806409462,480.76656158779684,361.779292895251,369.5416988557116,211.01881050028243,60.31815306603895,91.97641169486329,13.611009431174194,44.89134447376742,40.20207548050248,74.69167215392666,394.7844725230851,362.56151520964784,353.89376578127326,364.17600365010793,391.8085300537663,207.41574160967693,300.61938808841154,155.58496611724925,43.29233788387054,50.581139725515996,20.215734869420483,366.7446687163957,248.8717925452763,206.8375753742137
SIDOARJO,241.30309886814163,446.25979902983534,252.1197923059268,177.26789440261248,112.5994631545804,14.999818561190217,12.50788992000681,6.896361084577154,3.1565390013394423,44.09013239696674,83.75581004423897,328.79032610957796,423.5043305174738,342.5898095426138,270.5098910833494,122.92945765805179,41.68067303125545,85.70395589969625,7.941043059698693,11.778303120213868,23.50662518477405,53.01523552358429,239.08961476271506,316.06603305388154,257.4148438292125,366.35204465529273,342.80189550191795,152.03708822728933,214.34922168087,97.67977117364208,35.93738760132553,18.092704558916903,7.456590764764572,137.2862944324965,186.48960195526976,174.41757608422998
MOJOKERTO,334.72672720345435,477.6811460185419,321.90147161544314,232.41614411353817,109.21709899669797,22.230930118110233,15.867518891287778,16.332038195326387,10.791310801371601,83.36298656972306,125.54868872237736,380.85363220726435,448.2617633985262,427.4615189230379,360.5137954025907,165.86872142494275,62.94788623952245,90.04378730632463,7.914671704343407,19.354914116078213,42.88568786512568,71.17084709169416,292.81529400558804,336.7087923863348,307.3547474282444,391.60525939801863,423.3343678562356,212.90129699009373,191.4461598298195,108.47327041529073,33.88090948056897,32.59030511811022,14.543307086614169,221.3472821945643,229.5396558293117,227.67618903987804
JOMBANG,272.5644885793911,413.2848617286852,315.371641760081,208.7233259800702,90.80114033207239,24.068558230237834,17.455479333642216,14.55314403867033,15.046934104158158,79.85088896111532,127.07369629409361,314.982680644782,394.37008927645286,401.90040247014326,297.7975685824338,125.93899327141838,51.038369511849396,85.61139848001827,6.916912735897984,17.016766131653384,46.68258797983501,61.06881755378368,224.52227416376795,294.8852752632997,259.6772320842007,361.1350349568139,407.9352866735358,174.7553645397526,155.67258500625834,119.09211518114608,30.570615530368524,34.9425926822353,21.404686495121258,163.01818376703764,192.08828065031426,171.94974309680725
NGANJUK,285.00324930072634,393.5671961379741,310.4909918003822,214.20119610203722,151.788825400248,29.63571595421628,20.45198821267498,16.372938865230395,12.568415000089843,107.04058481423584,172.56468653980923,404.8422037745794,384.24643175869534,361.4918842350519,324.2296342215753,217.93344473792962,63.41414059739218,131.23767212309608,10.767835217029331,15.875807833060817,48.72630406267408,63.99868231122612,271.1957067303952,339.96748602950413,273.650980180763,304.22433052426055,360.2498487652657,208.53573631849736,182.94209955737634,154.46606651932507,40.36499679562046,48.13290987607736,26.638036883306693,202.03307698297198,250.56784300337213,205.7295653423893
MADIUN,275.72679473936944,393.5837234127077,285.07845345475005,251.35709622034662,170.74035741058677,32.14866083303681,14.307909946074037,22.425621219396735,16.963467843065438,147.33766422197732,211.10991083735496,364.1254564360504,384.30177116187764,380.4558142266405,312.36809904964554,242.96852534450773,80.64767800574147,165.98683460519348,10.684673076059427,19.76928604247054,75.47410275986194,91.74491054371592,355.4706654552613,332.39494111672656,229.71259642589396,275.35174853439514,376.3173685792357,284.2609864200554,219.18187659558296,162.40866269850855,34.21547236165278,76.84629548383087,46.58374068559542,262.0767158022735,301.17278760221194,205.0705701089227
MAGETAN,301.13427464618235,426.04782867078995,293.16983800321333,243.5765522857835,176.55903748376727,24.571126714062455,11.969669623401478,27.805691897959615,23.159889287522276,170.46604890718194,223.670756938789,378.58924680298446,407.2805119626701,471.50329606233373,307.42435014196724,264.7988246428807,78.67329914379414,155.21165232320112,10.46276385006493,22.398251271102502,105.6725948099399,107.41741135298132,408.7710694869369,331.72032443378157,243.89112539343634,272.7131545352497,386.7200327955448,304.00386833359,219.67225364822914,148.18789756344506,25.394977219201888,91.85440648867566,68.85954592476836,295.73926441133096,355.96254374573533,213.3616589263312
NGAWI,298.09181153132863,353.73820961969716,257.6551911492794,249.43038318562714,151.64258646833295,23.995525851100094,13.645358555631624,43.96447015709419,24.431652801610017,174.6245374079319,191.8210783974008,321.7754886496885,362.5896451451046,380.1125661489327,267.1598579582467,182.50552061185505,74.85323183797702,167.86654894535926,8.985823545555093,17.026007723035192,156.65742267955503,109.6535084922894,392.39632254898936,321.17000379775936,257.4481550372983,249.66919850639914,369.4672602629602,251.22025619630793,190.16827955945973,151.45463063322794,37.477250865584224,97.09130978352763,56.633654803057055,338.0573267653344,348.35444739825726,171.34791358849458
